Table: Table_1

Mesa Número ,103 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Y Sigias ,,Votos Válidos ,,
23 ,10008 (T0009) ,,017 ,,
15 ,UNIDAD NACIONAL DE LA PEPENCA (UNE ,,023 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,063 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,003 ,,
31 ,CAMBID (CAMBIO) ,,001 ,,
R ,MARIDO AZUL (AZU) si ,,006 ,,
27. ,MONMENTO PABA LA LIBERACION (ML)) ,,002 ,,
18 ,VICTORIA MICFORIAN ,,003 ,,
36 ,VAMDS FOR UNA GUATEMALA DIFERENTE (VAMP) ,,006 ,,
28 ,PAEHDO HUMANISIA DE GUATEMALA PIO ,,002 ,,
26 ,FEMERAL NACIONAL (8.84) ,,004 ,,
87 ,UNION REPUBLICANA (MR) ,,003 ,,
29 ,PAIDADO DE AMANZADA NACIONAL PAN ,,002 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL PM ,,000 ,,
16 ,PREMITE DE CONVENGENCIA NACIONAL (FOR-NACION) ,,001 ,X ,
50 ,COMITE CIVICO LA GOTA DG ASUA COMITE OVICO LA GOTA OF AGUAL ,,001 ,X ,
13 ,PARTIDO POLITICO ROSOTEDS (PPM) ,,006 ,,
$8 ,SERELLA VENE-MAIL KINAQ SCHILLA URNI--MAIZ KINA ,,049 ,,
12 ,M SAMILIA (M FAMILIA) ,,002 ,,
33 ,CABAL (CABAL) ,,003 ,,
IZ ,VISION CON VALORES (MM) ,,001 ,,
22 ,#ODEMOS (PODENCE) ,,007 ,,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (POWER) ,,000 ,,
20 ,COMPROMES RENOVACION Y ORDEN (360) ,,062 ,,





Table: Table_3

Código Nombre y Sighs ,,Votos ,Villdos ,
Total Votos Válidos e to summ de los vetor obteridus per in organizaciones politicas) ,,269 ,,
Votos Nulos ,,013 ,,
Votos en Blanco ,,001 ,,
Total Votos Vélidamente Emitidos for to since de las voter validates, verting yvotos on blence) ,,281 ,,
Votos invilidos ,,002 ,,
Total Votos ( to - de los votes entito y water ,,283 ,,





