jrv,cod_departamento,departamento,cod_municipio,municipio,orden,id,agrupacion,comunidad,empadronados,cui_inicial,cui_final,sector,correlativo,nombre,ubicacion_direccion,zona,direccion_completa,LATITUD,LONGITUD,MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN,diferencia,comentario
3,1,GUATEMALA,1,GUATEMALA,1.0,1.0,'001',CABECERA MUNICIPAL,277,2420449130101,2592594620101,URBANO,1,INSTITUTO RAFAEL AQUECHE,9 CALLE 2-36,1.0,"INSTITUTO RAFAEL AQUECHE, 9 CALLE 2-36, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.64083333333333,-90.51777777777778,3,Distrito Central,0,Guatemala,1,1,277,10,18,25,2,3.0,9,0,3,7,0,1,0,4,0,1,3,2,26,0,4,1,2,1,33,203,11,1,215,0,215,0,277,62,155,167.0,167.0,Sumas Asentadas sin cuadrar,1,1bae08360c7223157da09ecd050b4f176f190a0710604249c8cb9a36f275b0df,26/06/2023 01:02:30,ESCANER,48,Datos no cuadran
26,1,GUATEMALA,1,GUATEMALA,1.0,2.0,'002',CABECERA MUNICIPAL,400,2085236341901,2131107680101,URBANO,3,INSTITUTO NACIONAL CENTRAL,9 AVENIDA 9-27,1.0,"INSTITUTO NACIONAL CENTRAL, 9 AVENIDA 9-27, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63944444444444,-90.5111111111111,26,Distrito Central,0,Guatemala,1,3,400,13,8,42,0,2.0,3,2,3,8,2,5,0,5,1,1,0,0,61,1,4,1,23,0,34,222,17,0,239,0,239,0,397,158,219,236.0,236.0,Sumas Asentadas sin cuadrar,1,2222bf3f60ed0f7f0781fde724a2335603b0bf57c8a2507d935a68b3efb94f50,26/06/2023 02:53:28,ESCANER,3,Pendiente
29,1,GUATEMALA,1,GUATEMALA,1.0,2.0,'002',CABECERA MUNICIPAL,400,2194860260111,2215056600101,URBANO,3,INSTITUTO NACIONAL CENTRAL,9 AVENIDA 9-27,1.0,"INSTITUTO NACIONAL CENTRAL, 9 AVENIDA 9-27, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63944444444444,-90.5111111111111,29,Distrito Central,0,Guatemala,1,3,400,11,16,56,2,2.0,3,2,10,5,0,2,0,2,0,1,0,4,39,1,0,5,10,1,37,211,16,0,227,0,227,0,400,173,209,225.0,225.0,Sumas Asentadas sin cuadrar,1,3e6bc21bda65a15d3dbb86e18fd3a957a3e41e6a8bd7d4e15bc4569c3784a5e0,26/06/2023 02:16:51,ESCANER,2,Pendiente
68,1,GUATEMALA,1,GUATEMALA,1.0,2.0,'002',CABECERA MUNICIPAL,400,2983177290101,2992382100101,URBANO,6,PARQUEO PARQUE CENTRAL ALA SUR,ENTRADA SOBRE LA 8 CALLE ENTRE 6 Y 7 AVENIDA,1.0,"PARQUEO PARQUE CENTRAL ALA SUR, ENTRADA SOBRE LA 8 CALLE ENTRE 6 Y 7 AVENIDA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.64069444444444,-90.5125,68,Distrito Central,0,Guatemala,1,6,400,10,8,39,0,4.0,4,0,7,2,0,2,0,1,3,1,0,3,85,0,1,2,18,0,40,231,6,1,238,0,238,0,400,162,230,237.0,237.0,Sumas Asentadas sin cuadrar,1,29df735ec7982830ce4326a63bdc21065a3f8072c57c223d67434047edbf2716,26/06/2023 03:05:45,ESCANER,1,Pendiente
85,1,GUATEMALA,1,GUATEMALA,1.0,3.0,'003',CABECERA MUNICIPAL,400,2505916931601,2806901770802,URBANO,7,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA CON ORIENTACIÓN OCUPACIONAL PEMEM II,3 CALLE 15-45,1.0,"INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA CON ORIENTACIÓN OCUPACIONAL PEMEM II, 3 CALLE 15-45, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.64388888888889,-90.50194444444445,85,Distrito Central,0,Guatemala,1,7,400,12,15,45,3,5.0,6,3,2,4,0,3,2,0,0,0,1,0,0,1,0,6,15,0,35,153,14,0,197,0,197,0,393,196,158,172.0,172.0,Sumas Asentadas sin cuadrar,1,969ea5fb692e3df3efbc257114c89d1cd0089fd43ef9712ae5f3108c64a05311,26/06/2023 00:15:47,ESCANER,5,"Datos no cuadran, foppa x la ciudad no tiene datos "
90,1,GUATEMALA,1,GUATEMALA,1.0,4.0,"'004', '005', '006'",CABECERA MUNICIPAL,400,1689933840101,1742825831708,URBANO,8,INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN,11 AVENIDA 12-20,1.0,"INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN, 11 AVENIDA 12-20, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63611111111111,-90.50916666666667,90,Distrito Central,0,Guatemala,1,8,400,14,21,80,0,0.0,1,1,3,7,2,5,0,0,0,0,0,5,44,1,1,4,9,2,58,259,20,3,282,2,284,0,398,116,258,281.0,283.0,Sumas Asentadas sin cuadrar,1,5a521fe9fff7218f57e950f80fae97e7ecd49b7bdae3f2c4cd64b14968fc5311,25/06/2023 23:44:32,ESCANER,1,Pendiente
91,1,GUATEMALA,1,GUATEMALA,1.0,4.0,"'004', '005', '006'",CABECERA MUNICIPAL,400,1743615720101,1798108391216,URBANO,8,INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN,11 AVENIDA 12-20,1.0,"INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN, 11 AVENIDA 12-20, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63611111111111,-90.50916666666667,91,Distrito Central,0,Guatemala,1,8,400,8,18,74,2,3.0,4,2,5,3,0,5,1,1,0,0,0,1,53,3,6,2,4,0,54,250,18,0,268,0,268,0,397,129,249,267.0,267.0,Sumas Asentadas sin cuadrar,1,1a698ef719a9dfe082163a0e14de3fcaff567e254c54499f4a24341175916905,25/06/2023 23:42:43,ESCANER,1,Pendiente
103,1,GUATEMALA,1,GUATEMALA,1.0,4.0,"'004', '005', '006'",CABECERA MUNICIPAL,400,2513039420101,2559565410101,URBANO,8,INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN,11 AVENIDA 12-20,1.0,"INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN, 11 AVENIDA 12-20, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63611111111111,-90.50916666666667,103,Distrito Central,0,Guatemala,1,8,400,17,23,63,3,1.0,6,2,3,6,2,4,3,2,0,1,1,6,49,2,3,1,7,0,62,269,13,1,281,2,283,2,400,117,267,281.0,283.0,Sumas Asentadas sin cuadrar,1,bc234983d3796bab3433bfd96e2489b4cecf42b1638562df19d1e1d0df856227,26/06/2023 00:53:45,ESCANER,2,Pendiente
122,1,GUATEMALA,1,GUATEMALA,1.0,7.0,"'007', '012'",CABECERA MUNICIPAL,400,2537974620101,2599273681601,URBANO,9,INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA,1 CALLE 2-64,1.0,"INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA, 1 CALLE 2-64, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.64888888888889,-90.51694444444445,122,Distrito Central,0,Guatemala,1,9,400,4,20,57,3,3.0,8,0,10,4,1,3,2,1,1,1,2,1,38,1,1,5,10,1,54,232,11,5,247,5,247,0,400,153,231,247.0,252.0,Sumas Asentadas sin cuadrar,1,3272ecc8ca9782380353fd25db0ba48ec953158d2e1a8d9e39b551f89bb5715e,26/06/2023 03:27:13,ESCANER,1,Pendiente
139,1,GUATEMALA,1,GUATEMALA,1.0,8.0,"'008', '017', '065'",CABECERA MUNICIPAL,400,2358605570101,2407822910606,URBANO,10,INTECAP TICS PARQUEO,CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79,5.0,"INTECAP TICS PARQUEO, CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62472222222222,-90.51305555555555,139,Distrito Central,0,Guatemala,1,10,400,13,25,47,0,4.0,11,1,5,5,0,1,2,3,0,0,0,4,32,0,2,4,5,1,40,206,5,3,214,0,214,0,400,186,205,213.0,213.0,Sumas Asentadas sin cuadrar,1,610db76b9815f0ebe9db06748a0860a62578ee7557d5f9bfc02e67128c94dbbf,25/06/2023 23:38:36,ESCANER,1,Pendiente
