Table: Table_1

Mesa Número ,1384 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones políticas) ,,9 ,8 ,
Votos Nulos ,,2 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es to sumo de los votos vólidos, votos nulos y votos en bianco) ,2 ,,9 ,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos válidomente emitidos y votos inválidos) ,2 ,\ ,a ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,,8 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,\ ,6 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,3 ,7 ,
30 ,PARTIDO REPUBLICANO (PR) ,,00 ,0 ,
31 ,CAMBIO (CAMBIO) ,,00 ,2 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,,9 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,C ,,\ ,
18 ,VICTORIA (VICTORIA) ,0 ,0 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,\ ,
26 ,BIENESTAR NACIONAL (BIEN) ,C ,0 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,00 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,,00 ,is ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,00 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,O ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,O ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,\ ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,3 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,,00 ,3 ,
33 ,CABAL (CABAL) ,,00 ,2 ,
17 ,VISION CON VALORES (VIVA) ,,01 C ,4 ,
22 ,PODEMOS (PODEMOS) ,,\ ,\ ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,2 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,C ,5 ,6 ,





