Table: Table_1

Mesa Número ,1509 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicos) ,,199 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,003 ,,
Total Votos Válidamente Emitidos (Es lo sumo de los votos vólidos, votos nulos y votos en blanco) ,N ,2 ,2 ,
Votos Inválidos ,,00 ,1 ,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,222 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,007 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,021 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,33 ,,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,0 ,\ ,
31 ,CAMBIO {CAMBIO) ,,001 ,2 ,
32 ,PARTIDO AZUL (AZUL) ,,005 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,001 ,,
18 ,VICTORIA (VICTORIA) ,,004 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA {PHG} ,,CO1 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,005 ,,
37 ,UNION REPUBLICANA (UR) ,,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,003 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,I ,0 ,1 ,
BO ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAL ,U ,0 ,( ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,U ,0 ,1 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ ,,2, ,9 ,
12 ,MI FAMILIA (MI FAMILIA) ,U ,0 ,1 ,
33 ,CABAL (CABAL) ,0 ,C ,5 ,
17 ,VISION CON VALORES (VIVA) ,U ,0 ,3 ,
22 ,PODEMOS (PODEMOS) ,0 ,,C ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,2 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,0 ,5 ,0 ,





