Table: Table_1

Meso Numero ,1513 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Eleccion ,Corporacion ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,,Votos Válidos ,,
23 ,1000570005 ,,,S ,
15 ,UNIDAD NACIONAL Dr LA ESPECIALLA UNI- ,,1 ,S ,
4: ,VALOR UNIGNISTA VALO ,,2 ,,
30 ,PARTIDO REPUBLICANO PR, ,,,,
31 ,CAVSC (CAMB-01 ,,,2 ,
32 ,PARTIDO AZUL AZUL ,,,,
27 ,PARA LA LIBERACIÓN 09 LOS PUBBLOS (MLP) ,,,,
18 ,,,,,
36 ,LAMOS POSUNA GUATEMALA DIFEPINIE VAVOS ,,,,
28 ,PARIDO HUMANISTA OF SUATEVAL: PHG: ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,2 ,
37 ,UNION REPUBLICANA (UR) ,,,7 ,
25 ,PARTIDO 2: AVANZADA NACIONAL PAN ,,,3 ,
3= ,PARRICO 75 NIEGRACIÓN NACIONAL ,P.M. ,,,,
16 ,DE CONVERGENCIA NACIONAL JCN NACION ,,,2 ,
80 ,COVITE 5:00 A GOTA DE AGUA COMITE CIVICO LA GOTA DE AGUA ,,,2 ,
13 ,FASTIDO POLICE NOSOTROS OPN ,,,,
88 ,SEVINA URNG-MA:2 KNNOQ SEVILLA LANG-MAIL WINAQ ,,,,
:7 ,y FAVILIA .V TAMINA, ,,,2 ,
33 ,CABA! CABA ,,,,
17 ,VISION CON VALORES (VIVA) ,,,1 ,
22 ,PODUMOS PODEMOS: ,,9 ,,
116 ,PARTIDO or OPORTUNIDADES Y DESAPROLLO (PODER) ,,,,
20 ,COMPROMISO RENOVACION Y CPOIN (CRED ,,077 ,,





Table: Table_3

Codigo Nombre y Siglas ,Votos Vahdos ,
Total Votos Váhdos IES in sump de los votes obtendos por An organizaciones politicas) ,178 ,
Votos Nulos ,,
Votos en Blanco ,,
Total Votos Válidamente Emitidos (Es lo sump de los votos vólidos, votos nulos , votos en bionce) ,203 ,
Votos Inválidos ,,
Total Votos (Es to sump de los votos vúlidamente emindos y votos invólidas) ,,





