Table: Table_1

Mesa Número ,1527 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por los organizaciones políticas) ,,271 ,,
Votos Nulos ,,,17 ,
Votos en Blanco ,,05 ,,
Total Votos Válidamente Emitidos (Es lo sumo de los votos vólidos, votos nutos y votos en blanco) ,,293 ,,
Votos Inválidos i. ,,,,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos inválidos) ,,9 ,3 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,9 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,9 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,71 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,,,3 ,
31 ,CAMBIO (CAMBIO) ,,,3 ,
32 ,PARTIDO AZUL (AZUL) ,,,9 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,,5 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,,
37 ,UNION REPUBLICANA (UR) ,,,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,3 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,3 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,,,4 ,
33 ,CABAL (CABAL) ,,,2 ,
17 ,VISION CON VALORES (VIVA) ,,,,
22 ,PODÉMOS (PODEMOS) ,,,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,8 ,7 ,





