Table: Table_1

Mesa Número ,1571 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Sigias ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticos) ,2 ,I ,4 ,
Votos Nulos ,,,4 ,
Votos en Blanco ,,,- ,
Total Votos Válidamente Emitidos (Es to sumo de los votos vólidos, votos nulos y votos en bionco) ,,,,
Votos Inválidos ,,,,
Total Votos (Es la suma de los votos validomente emitidos y votos invólidos) ,2 ,2 ,8 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,5 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,2 ,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,3 ,9 ,
30 ,PARTIDO REPUBLICANO (PR) ,,,1 ,
31 ,CAMBIO (CAMBIO) ,,,3 ,
32 ,PARTIOO AZUL (AZUL ,,,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,- ,
18 ,VICTORIA (VICTORIA) ,,,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS: ,,,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,I ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA: ,,,,
13 ,PARTIDO POLITICO NOSOTROS {PPN) ,,,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,3 ,2 ,
12 ,MI FAMILIA (MI FAMILIA) ,,,2 ,
33 ,CABAL (CABAL) ,,1 ,0 ,
17 ,VISION CON VALORES (VIVA) ,,,3 ,
22 ,PODEMOS (PODEMOS) ,,I ,2 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,,67 ,





