Table: Table_1

Mesa Número ,1590 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES to sumo de los votos obtenidos por las organizaciones políticas) ,,210 ,,
Votos Nulos ,,17 ,,
Votos en Blanco ,,,1 ,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,228 ,,
Votos Inválidos ,,,,
Total Votos (Es la sumo de los votos vólidomente emitidos y votos invólidos) ,,228 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,7 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,2 ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,44 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,,0 ,
31 ,CAMBIO (CAMBIO) ,,,4 ,
32 ,PARTIDO AZUL (AZUL) ,,,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,3 ,
18 ,VICTORIA (VICTORIA) ,,,8 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,7 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,0 ,
37 ,UNION REPUBLICANA (UR) ,,,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,3 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL {FCN-NACION ,,,3 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,O ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,0 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,34 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,,1 ,
33 ,CABAL (CABAL) ,,,3 ,
17 ,VISION CON VALORES (VIVA) ,,,2 ,
22 ,PODEMOS (PODEMOS) ,,,5 ,
116 ,PARTIDO DE OPORTUNIDADES y DESARROLLO (PODER) ,,,O ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,57 ,,





