Table: Table_1

Mesa Número ,1630 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por los orgonizaciones políticos) ,,228 ,,
Votos Nulos ,,01 ,3 ,
Votos en Blanco ,,00 ,2 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en bianco) ,,243 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,,4 ,3 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,1 ,7 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O ,1 ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,5 ,4 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,003 ,,
32 ,PARTIDO AZUL (AZUL ,,004 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,001 ,1 ,
18 ,VICTORIA (VICTORIA) ,,00 ,8 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,00 ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,do ,2 ,
37 ,UNION REPUBLICANA (UR) ,,00 ,3 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,00 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,00 ,2 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,00 ,7 ,
as ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,3 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,,00 ,1 ,
33 ,CABAL (CABAL) ,,601 ,2 ,
17 ,VISION CON VALORES (VIVA) ,,O ,7 ,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,4 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,3 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,4 ,0 ,





