Table: Table_1

Mesa Número ,1672 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticos) ,,213 ,,
Votos Nutos ,,011 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en bianco) ,,224 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos vólidamente emitidos y votos inválidos) ,,224 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,003 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,013 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,o ,5 ,8 ,
30 ,PARTIDO REPUBLICANO (PR) ,C ,,00 ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,4 ,
32 ,PARTIDO AZUL (AZUL) ,O ,1 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,00 ,2 ,
18 ,VICTORIA (VICTORIA) ,,00 ,4 ,
36 ,VAMOS POR UNA GUATÉMALA DIFERENTE (VAMOS) ,0 ,O ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,O ,0 ,O ,
26 ,BIENESTAR NACIONAL (BIEN) ,,00 ,3 ,
37 ,UNION REPUBLICANA (UR) ,,00 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,000 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,C ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,001 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,001 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,5 ,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,00 ,4 ,
17 ,VISION CON VALORES (VIVA) ,,004 ,,
22 ,PODEMOS (PODEMOS) ,,01 ,1 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO ) ,,05 ,5 ,





