Table: Table_1

Mesa Número ,1678 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones políticos) ,,172 ,,
Votos Nulos ,,011 ,,
Votos en Blanco ,,( ,1 ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en bianco) ,,184 ,,
Votos Inválidos ,,U ,C ,
Total Votos (Es to sumo de los votos válidomente emitidos votos invólidos) ,,& ,4 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,00 ,4 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,U ,1 ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,L ,2 ,x ,
30 ,PARTIDO REPUBLICANO (PR) ,L ,C ,0 ,
31 ,CAMBIO (CAMBIO) ,,i ,4 ,
32 ,PARTIDO AZUL (AZUL) ,( ,C ,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,L ,U ,
18 ,VICTORIA (VICTORIA) ,,111 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,C ,C ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,C ,L ,1 ,
37 ,UNION REPUBLICANA (UR) ,C ,( ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,( ,C ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,( ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,U ,(. ,( ,
80 ,COMITE CIVICO LA GOTA 08 AGUA (COMITE CIVICO LA GOTA DE AGUA) ,( ,( ,O ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,2 ,( ,1 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAI2 WINAO) ,C ,5 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,C ,( ,( ,
33 ,CABAL (CABAL) ,L ,( ,( ,
17 ,VISION CON VALORES (VIVA) ,,004 ,,
22 ,PODEMOS (PODEMOS) ,,( ,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,C ,U ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,,,t ,





