Table: Table_1

Meso Número ,1682 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,,213 ,,
Votos Nulos ,,02 ,7 ,
Votos en Blanco ,,00 ,I ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nutos y votos en bianco) ,,24 ,\ ,
Votos Inválidos ,,,,
Total Votos (Es la sume de los votos vólidamente emitidos y votos invólidos) ,,24 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,010 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,+ ,
30 ,PARTIDO REPUBLICANO (PR) ,,00 ,\ ,
31 ,CAMBIO (CAMBIO) ,O ,,3 ,
32 ,PARTIDO AZUL (AZUL) ,o ,0 ,7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,,
18 ,VICTORIA (VICTORIA) ,,00 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,003 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,O ,\ ,
26 ,BIENESTAR NACIONAL (BIEN) ,,004 ,,
37 ,UNION REPUBLICANA (UR) ,,00 ,3 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,00 ,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,O ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA: ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,001 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,025 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,0 ,
33 ,CABAL (CABAL) ,,005 ,,
17 ,VISION CON VALORES (VIVA) ,,0 ,4 ,
22 ,PODEMOS (PODEMOS) ,,007 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,002 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,073 ,,





