Table: Table_1

Mesa Número ,1692 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (ES to suma de los votos obtenidos por las organizaciones políticas) ,,230 ,,
Votos Nulos ,,I ,7 ,
Votos en Blanco ,,,1) ,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,247 ,,
Votos Inválidos ,,00 ,0 ,
Total Votos (Es la suma de los votos válidomente emitidos y votos invólidos) ,,24 ,7 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,009 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O ,I ,9 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,3 ,9 ,
30 ,PARTIDO REPUBLICANO (PR) ,e ,0 ,3 ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,3 ,
32 ,PARTIDO AZUL (AZUL ,C ,0 ,5 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,O ,0 ,I ,
18 ,VICTORIA (VICTORIA) ,O ,0 ,8 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,006 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,C ,( ,() ,
26 ,BIENESTAR NACIONAL (BIEN) ,C ,C ,3 ,
37 ,UNION REPUBLICANA (UR) ,0 ,0 ,5 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,002 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL {PIN) ,,,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL {FCN-NACION) ,,D ,I ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,00 ,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,004 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,2 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,C ,2 ,
33 ,CABAL (CABAL) ,,00 ,4 ,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,6 ,
22 ,PODEMOS {PODEMOS) ,,00 ,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,() ,? ,0 ,
20 ,COMPROMISO RENOVACION y ORDEN (CREO) ,0 ,7 ,8 ,





