Table: Table_1

Mesa Número ,1714 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los orgonizaciones politicas) ,2 ,7 ,9 ,
Votos Nulos ,0 ,2 ,0 ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en bianco) ,,29 ,9 ,
Votos Inválidos ,,00 ,2 ,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,3 ,O ,1 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,002 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,I ,5 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,8 ,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,,O ,S ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,4 ,
32 ,PARTIDO AZUL (AZUL ,0 ,/ ,7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,00 ,/ ,
18 ,VICTORIA (VICTOR(A) ,,00 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,0 ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,O ,3 ,
26 ,BIENESTAR NACIONAL (BIEN) ,O ,0 ,3 ,
37 ,UNION REPUBLICANA (UR) ,,O ,O ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,O ,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,O ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,0 ,O ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,001 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,O ,/ ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,9 ,
12 ,MI FAMILIA (MI FAMILIA) ,,O ,2 ,
33 ,CABAL (CABAL) ,,0 ,I ,
17 ,VISION CON VALORES (VIVA) ,,D ,2 ,
22 ,PODEMOS (PODEMOS) ,,,4 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,002 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,8 ,1 ,





