Table: Table_1

Mesa Número ,1719 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombrey Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones políticos) ,,231 ,,
Votos Nulos ,I ,1 ,9 ,
Votos en Blanco ,a ,C ,2 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,C ,it ,2 ,
Votos Inválidos ,() ,/ ,9 ,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos invúlidos) ,,,2 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,O ,O ,2 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,() ,1 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,) ,6 ,,
30 ,PARTIDO REPUBLICANO (PR) ,: ,) ,1 ,
31 ,CAMBIO (CAMBIO) ,() ,O ,2 ,
32 ,PARTIDO AZUL (AZUL ,() ,\ ,9 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,() ,O ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,(I ,0 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,( ) ,() ,1 ,
37 ,UNION REPUBLICANA (UR) ,,00 ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,() ,O ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,) ,O ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,O ,0 ,J ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,O ,O ,O ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,() ,,44 ,
12 ,MI FAMILIA (MI FAMILIA) ,() ,0 ,0 ,
33 ,CABAL (CABAL) ,0 ,0 ,1 ,
17 ,VISION CON VALORES (VIVA) ,C ,C ,/ ,
22 ,PODEMOS (PODEMOS) ,,,6 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,! ,O ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO ) ,O ,8 ,3 ,





