Table: Table_1

Mesa Número ,1720 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,O ,,1 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,() ,1 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,(1 ,6 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,U ,0 ,S ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,4 ,
32 ,PARTIDO AZUL (AZUL ,0 ,1 ,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,0 ,4 ,
1B ,VICTORIA (VICTORIA) ,() ,0 ,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,U ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,0 ,
26 ,BIENESTAR NACIONAL {BIEN) ,O ,0 ,1 ,
37 ,UNION REPUBLICANA (UR) ,() ,0 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,O ,0 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,() ,0 ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,(1 ,0 ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,002 ,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,,,O ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,1 ,
33 ,CABAL (CABAL) ,i) ,U ,3 ,
17 ,VISION CON VALORES (VIVA) ,() ,0 ,S ,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,5 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO; ,0 ,6 ,7 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,256 ,,
Votos Nulos ,,1 ,7 ,
Votos en Blanco ,,,O ,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,273 ,,
Votos Inválidos ,,,U ,
Total Votos (Es la sump de los votos válidamente emitidos y votos inválidos) ,,273 ,,





