Table: Table_1

Mesa Número ,1747 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticos) ,,22 ,1 ,
Votos Nulos ,O ,M ,0 ,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,23. ,,
Votos Inválidos ,,,,
Total Votos (ES lo sumo de los votos válidamente emitidos y votos invólidos) ,,231 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,5 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,00 ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,2 ,9 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,0 ,,4 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,0 ,7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,,
18 ,VICTORIA (VICTORIA) ,O ,0 ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,001 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,:- 0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,0 ,S ,
37 ,UNION REPUBLICANA (UR) ,,/ O ,: O ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,0.01 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,o ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,0 ,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,LI ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,7 ,0 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,,
33 ,CABAL (CABAL ,,,O ,
17 ,VISION CON VALORES (VIVA) ,,1 ,1 O ,
22 ,PODEMOS (PODEMOS) ,,1 ,2 ,
116 ,PARTIDO DE OPORTUNIDADES X DESARROLLO (PODER) ,,002 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO; ,,068 ,,





