Table: Table_1

Mesa Número ,1753 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (10005) ,005 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 2 ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 3 ,4 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,1 ,
31 ,CAMBIO (CAMBIO) ,00 ,3 ,
32 ,PARTIDO AZUL (AZUL ,0 1 ,1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,3 ,
18 ,VICTORIA (VICTORIA) ,00 ,6 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,2 ,
37 ,UNION REPUBLICANA (UR) ,00 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,00 ,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,1 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 3 ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,1 ,
33 ,CABAL (CABAL) ,00 ,1 ,
17 ,VISION CON VALORES (VIVA) ,00 ,6 ,
22 ,PODEMOS (PODEMOS) ,005 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,080 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,,226 ,,
Votos Nulos ,O ,,16 ,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en blanco) ,,238 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos válidamente emitidos y votos invólidos) ,2 ,3 ,Of ,





