Table: Table_1

Mesa Número ,1761 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de los votos obtenidos por los organizaciones políticas) ,,,,
Votos Nulos ,,,5 ,
Votos en Blanco ,,U ,1 ,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,5 ,2 ,
Votos Inválidos ,,,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos inválidos) ,2 ,5 ,2 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,,1 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,= ,,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,0 ,0 ,
31 ,CAMBIO (CAMBIO) ,O ,() ,2 ,
32 ,PARTIDO AZUL (AZUL) ,C ,U ,t ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,O ,O ,1 ,
18 ,VICTORIA (VICTORIA) ,0 ,C ,E ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,I ,O ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,O ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,O ,C ,C ,
37 ,UNION REPUBLICANA (UR) ,,001 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,000 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL {PIN] ,O ,O ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,O ,& ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA OF AGUA) ,0 ,0 ,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,O ,0 ,3 ,
1 88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,5 ,7 ,
12 ,M FAMILIA (MI FAMILIA) ,O ,C ,1 ,
33 ,CABAL (CABAL) ,0 ,0 ,2 ,
17 ,VISION CON VALORES (VIVA) ,0 ,O ,2 ,
22 ,PODEMOS (PODEMOS) ,,CO ,9 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,C ,( ,( ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,,6 ,5 ,





