Table: Table_1

Mesa Número ,1765 ,,
Departamento ,OT ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la sume de los votos obtenidos por los organizaciones politicas) ,,221 ,4 ,
Votos Nulos ,,020 ,,
Votos en Blanco ,,00 ,2 ,
Total Votos Validamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en blanco) ,,241 ,e ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,24 ,6 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,,
23 ,TODOS (TODOS) ,007 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA {UNE) ,02 ,< ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,U 4 ,1 ,,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,2 ,,
31 ,CAMBIO (CAMBIO) ,00 ,2 ,,
32 ,PARTIDO AZUL (AZUL) ,0 1 ,1 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,00 ,6 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,7 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,3 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,3 ,,
37 ,UNION REPUBLICANA (UR) ,00 ,2 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,40 ,1 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,U O ,3 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,2 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,O ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,2 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,03 ,5 ,,
12 ,MI FAMILIA (MI FAMILIA] ,00. ,O ,,
33 ,CABAL (CABAL) ,00 ,1 ,,
17 ,VISION CON VALORES (VIVA) ,01 ,1 ,,
22 ,PODEMOS (PODEMOS) ,00 ,4 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,402 ,,,
20 ,COMPROMISO RENOVACION Y ORDEN (CRED ,052 ,,,





