Table: Table_1

Mesa Número ,1782 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones políticas) ,,244 ,,
Votos Nulos ,,01 ,1 ,
Votos en Blanco ,,00 ,1 ,
Total Votos Validamente Emitidos (ES lo suma de los votos vólidos, votos nulos y votos en blanco) ,,2 $ 6 ,,
Votos Inválidos ,,00 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos invólidos) ,2 ,5 ,6 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,00 ,6 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,01 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,02 ,9 ,
30 ,PARTIDO REPUBLICANO (PR) ,,2 ,
31 ,CAMBIO (CAMBIO) ,,1 ,
32 ,PARTIDO AZUL (AZUL) ,,8 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,2 ,
18 ,VICTORIA (VICTORIA) ,,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,3 ,
37 ,UNION REPUBLICANA (UR) ,,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,7 ,6 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,
33 ,CABAL (CABAL) ,,3 ,
17 ,VISION CON VALORES (VIVA) ,00 ,S ,
22 ,PODEMOS (PODEMOS) ,,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,070 ,,





