Table: Table_1

Mesa Número ,1791 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo suma de los votos obtenidos por los organizaciones políticas) ,,234 ,,
Votos Nulos ,,023 ,,
Votos en Blanco ,,004 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votas vólidos, votos nulos y votos en blanco) ,,267 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos vólidomente emitidos y votos inválidos) ,,26 ,1 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,01 ,1 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 $ 3 ,S ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,02 ,7 ,
30 ,PARTIDO REPUBLICANO (PR) ,000 ,,
31 ,CAMBIO (CAMBIO) ,004 ,,
32 ,PARTIDO AZUL (AZUL) ,00 ,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,3 ,
18 ,VICTORIA (VICTORIA) ,00 ,7 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,CO ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,C 0 ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,2 ,
37 ,UNION REPUBLICANA (UR) ,00 ,O ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,00 ,7 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,00 ,O ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O 2 ,1 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,3 ,
33 ,CABAL (CABAL) ,00 ,3 ,
17 ,VISION CON VALORES (VIVA) ,C 7 ,0 ,
22 ,PODEMOS (PODEMOS) ,O C ,4 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,1 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,C j ,2 ,





