Table: Table_1

Mesa Número ,1850 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones politicos) ,,134 ,,
Votos Nulos ,0 ,09 ,,
Votos en Blanco ,0 ,0 ,2 ,
Total Votos Válidamente Emitidos (Es la sump de los votos válidos. votos nutos y votos en bianco) ,,145 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to sump de los votos válidamente emitidos y votos invólidos) ,1 ,45 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,005 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,1 ,4 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,3 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,,0 ,
31 ,CAMBIO (CAMBIO) ,,O ,5 ,
32 ,PARTIDO AZUL (AZUL) ,,00 ,6 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,,0 ,
18 ,VICTORIA (VICTORIA) ,00 ,,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,O ,0 ,T ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,O ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,01 ,O ,3 ,
37 ,UNION REPUBLICANA (UR) ,,,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,,,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,U ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION ,,00 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,00 ,,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,CO ,0 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,1 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,C ,O ,1 ,
33 ,CABAL (CABAL) ,0 ,O ,5 ,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,3 ,
22 ,PODEMOS (PODEMOS) ,C ,O ,5 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,021 ,,





