Table: Table_1

Mesa Número ,1851 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones politicas) ,,142 ,,
Votos Nulos ,,,4 ,
Votos en Blanco ,,002 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulas y votos en bianco) ,,150 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votas válidamente emitidos y votos invólidos) ,,15 ,8 o ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,003 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,008 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,045 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,001 ,,
31 ,CAMBIO (CAMBIO) ,0 ,,,
32 ,PARTIDO AZUL (AZUL) ,0 ,,4 ,
27 ,MOVIMIENTO PARA LA LIBERACIÓN DE LOS PUEBLOS (MLP) ,,002 ,,
18 ,VICTORIA (VICTORIA) ,O ,O ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,\ ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,,
37 ,UNION REPUBLICANA (UR) ,,001 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,4 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,\ ,\ ,
12 ,MI FAMILIA (MI FAMILIA) ,,001 ,,
33 ,CABAL (CASAL) ,,,9. ,
17 ,VISION CON VALORES (VIVA) ,,,6 ,
22 ,PODEMOS (PODEMOS) ,,00 ,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,130 ,,





