Table: Table_1

Mesa Número ,1914 ,,
Departamento ,OT ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES la sumo de los votos obtenidos por los organizaciones políticos) ,/ ,3 ,9 ,
Votos Nulos ,0 ,/ ,4 ,
Votos en Blanco ,,00 ,/ ,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nutos y votos en blanco) ,/ ,5 ,4 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos inválidos) ,/ ,5 ,4 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,0 ,4 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,/ ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,4 ,5 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,/ ,
32 ,PARTIDO AZUL (AZUL) ,0 ,0 ,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,0 ,/ ,
18 ,VICTORIA (VICTORIA) ,,00 ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,0 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,1 ,
26 ,SIENESTAR NACIONAL (BIEN) ,0 ,0 ,2 ,
37 ,UNION REPUBLICANA (UR) ,0 ,0 ,/ ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 ,0 ,0 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,00 ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,00 ,/ ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,00 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,/ ,5 ,
12 ,MI FAMILIA (M1 FAMILIA) ,,000 ,,
33 ,CABAL (CABAL! ,,00 ,4 ,
17 ,VISION CON VALORES (VIVA) ,,000 ,,
22 ,PODEMOS (PODEMOS) ,0 ,0 ,3 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,0 ,0 ,0 ,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,0 ,3 ,3 ,





