Table: Table_1

Mesa Número ,1925 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por las organizaciones políticas) ,1 ,5 ,8 ,
Votos Nulos ,0 ,0 ,9 ,
Votos en Blanco ,,00 ,I ,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bianco) ,,,: ,
Votos Inválidos ,,000 ,,
Total Votos (ES to suma de los votos vólidamente emitidos y votos invólidos) ,,16 ,8 ,





Table: Table_3

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,IDDOS (TODOS) ,,003 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,I ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,5 ,7 ,
30 ,PARTIDO REPUBLICANO (PR) ,,0 ,0 ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,1 ,
32 ,PARTIDO AZUL (AZUL) ,,,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,0 ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,0 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,3 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,) ,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA {COMITE CIVICO LA GOTA DE AGUAL ,,,/ ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,3 ,
88 ,SÉMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ ,,2 ,0 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,I ,
33 ,CABAL (CABAL) ,,0 ,) ,
17 ,VISION CON VALORES (VIVA) ,,,5 ,
22 ,PODEMOS (PODEMOS) ,,00 ,7 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,0 ,3 ,3 ,





