Table: Table_1

Mesa Número ,1926 ,,
Deportamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,4 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,\ ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,4 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,- ,- ,,
31 ,CAMBIO (CAMBIO) ,- ,0 ,2 ,
32 ,PARTIDO AZUL (AZUL ) ,,0 ,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,- ,O ,7 ,
18 ,VICTORIA (VICTORIA) ,- ,0 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,- ,O ,9 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,- ,- ,- ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,7 ,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,- ,- ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,- ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,- ,- ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAL ,,0 ,7 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,- ,33 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,7 ,
33 ,CABAL (CABAL) ,.. ,0 ,7 ,
17 ,VISION CON VALORES (VIVA) ,,0 ,3 ,
22 ,PODEMOS (PODEMOS) ,- ,0 ,7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,0 ,7 ,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,- ,2 ,7 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,150 ,,
Votos Nulos ,,1 ,3 ,
Votos en Blanco ,,- ,,
Total Votos Válidamente Emitidos (Es la suma de las votos válidos, votos nulos y votos en bionco) ,1 ,6 ,3 ,
Votos Inválidos ,,- ,- ,
Total Votos (Es la suma de los votos válidomente emitidos y votos invólidos) ,1 ,6 ,3 ,





