Table: Table_1

Mesa Número ,2011 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre Y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,0 ,,,
Votos Nulos ,,0 ,,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nutos y vatos en blanco) ,,,2 ,
Votos inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,I ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,0 ,( ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,0 ,0 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,0 ,4 ,
30 ,PARTIDO REPUBLICANO (PR ,,,,
31 ,CAMBIO (CAMBIO) ,,0 ,,
32 ,PARTIDO AZUL (AZUL) ,0 ,0 ,O ,
27 ,MOVIMIENTO PARA IA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,0 ,0 ,
18 ,VICTORIA (VICTORIA) - ,0 ,0 ,0 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,0 ,0 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,O ,1 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,1) ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,1) ,0 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,O ,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAT ,,0 ,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,\ ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,0 ,I ,
12 ,MI FAMILIA (MI FAMILIA) ,,() ,0 ,
33 ,CARAL (CABAL) ,,0 ,0 ,
17 ,VISION CON VALORES (VIVA) ,,00 ,0 ,
22 ,PODEMOS (PODEMOS) ,,,,
116 ,PARTIDO DE OPORTUNIDADES y DESARROLLO (PODER) ,,0 ,0 ,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,,0 ,2 ,





