Table: Table_1

Mesa Número ,197 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Validos ,
23 ,TODOS (TODOS) ,,012 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,9 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,7 5 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,O ,
31 ,CAMBIO (CAMBIO) ,0 ,,
32 ,PARTIDO AZUL (AZUL) ,,000 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,
18 ,VICTORIA (VICTORIA) ,0 ,1 ,
36 ,VAMOS POR UNA'GUATEMALA DIFERENTE (VAMOS) ,,002 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,5 ,
37 ,UNION REPUBLICANA (UR) ,,001 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,002 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTADE AGUA) ,,002 ,
13 ,PARTIDO POUTICO NOSQIROS (PPN) ,0 ,Q 3 ,
88 ,SEMILLA URNG-MAIZ WINAQ {SEMILLA URNG-MAIZ WINAQ) ,03 ,9 ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,3 ,
33 ,CABAL (CABAL) ,,00 5 ,
17 ,VISION CON VALORES (VIVA) ,00 ,1 ,
22 ,PODEMOS (PODEMOS) ,,006 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,001 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,059 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,271 ,,
Votos Nulos ,,015 ,,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanca) ,,271 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos inválidos) ,,271 ,,





