Table: Table_1

Mesa Número ,235 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Validos ,,
23 ,TODOS (TODOS) ,,,7 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,1 ,a ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,6 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,O ,0 ,
31 ,CAMBIO (CAMBIO) ,,0 ,3 ,
32 ,PARTIDO AZUL (AZUL) ,,0 ,7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,2 ,
18 ,VICTORIA (VICTORIA) ,,,5 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,0 ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,2 ,
26 ,BIENESTAR NACIONAL (SIEN) ,,0 ,4 ,
37 ,UNION REPUBLICANA (UR) ,,,3 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,,,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,0 ,O ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,o ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,2 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,0 ,,
33 ,CABAL (CABAL) ,,O ,,
17 ,VISION CON VALORES (VIVA) ,0 ,O ,6 ,
22 ,PODEMOS (PODEMOS) ,0 ,0 ,8 ,
116 ,PARTIDO DE OPORTUNIDADES * DESARROLLO (PODER) ,,0 ,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,4 ,8 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones politicos) ,,22 ,6. ,
Votos Nulos ,,013 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nutos y votos en blanco) ,,23 ,9 ,
Votos Inválidos ,,000 ,,
Total Votos (Es to suma de los votos vólidamente emitidos y votos inválidos) ,2 ,3 ,a ,





