Table: Table_1

Mesa Número ,251 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,- ,,3 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,- ,,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,- ,2 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,,,,
31 ,CAMBIO (CAMBIO) ,,,,
32 ,PARTIDO AZUL (AZUL ,- ,,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,- ,- ,
18 ,VICTORIA (VICTORIA) ,- ,- ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,- ,,1 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,- ,,- ,
26 ,BIENESTAR NACIONAL (BIEN) ,,- ,1 ,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PA ,,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,,
88 ,SEMILLA URNG-MAI2 WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,21 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,,,
33 ,CABAL (CABAL) ,- ,,1 ,
17 ,VISION CON VALORES (VIVA) ,,,,
22 ,PODEMOS (PODEMOS) ,,,3 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,- ,,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,- ,- ,9 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por las organizaciones politicas) ,- ,6 ,9 ,
Votos Nulos ,- ,- ,5 ,
Votos en Blanco ,- ,- ,1 ,
Total Votos Válidamente Emitidos (Es to sumo de los votos vólidos, votos nulos y votos en bianco) ,- ,7 ,5 ,
Votos Inválidos ,,,,
Total Votos (Es la sumo de los votos volidamente emitidos y votos Invólidos) ,,7 ,5 ,





