Table: Table_1

Mesa Número ,263 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,25 ,,a ,
Votes/Nulos voto Nulos ,,017 ,,
,,001 ,,
Total Votos Válidamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en blanco) ,,268 ,,
Votos Votu Inválidos invalido ,,001 ,,
Total Votos (Es la sump de los votos vólidamente emitidos y votos invólidos) ,,26. ,a ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,9 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,7 ,A ,
30 ,PARTIDO REPUBLICANO (PR) ,O ,0 ,; ,
31 ,CAMBIO (CAMBIO) ,0 ,,0 ,
32 ,PARTIDO AZUL {AZUL): ,O ,,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,0 ,,
18 ,VICTORIA (VICTORIA) ,,,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,5 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (8IEN) ,,,2 ,
37 ,UNION REPUBLICANA (UR) ,,,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,004 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,21 ,
13 ,PARTIDO POLITICO NOSOTROS {PPN) ,,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O ,5 ,1 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,O ,2 ,
33 ,CABAL (CABAL) ,,O ,1 ,
17 ,VISION CON VALORES (VIVA) ,O ,O ,3 ,
22 ,PODEMOS (PODEMOS) ,O ,O ,6 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,O ,0 ,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,051 ,3 ,





