Table: Table_1

Mesa Número ,276 ,,
Departamento ,01 ,Guatemala ,
Municipia ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,005 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,014 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,085 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,001 ,,
31 ,CAMBIO (CAMBIO) ,,005 ,,
32 ,PARTIDO AZUL (AZUL) ,,008 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,005 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,005 ,,
37 ,UNION REPUBLICANA (UR) ,,001 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,002 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,001 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,002 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,000 ,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,,044 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,002 ,,
17 ,VISION CON VALORES (VIVA) ,,004 ,,
22 ,PODEMOS (PODEMOS) ,,006 ,,
116 ,PARTIDO DE OPORTUNIDADES y DESARROLLO (PODER) ,,001 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,066 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones politicos) ,,261 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,001 ,,
Total Votos-Válidamente Emitidos (ES lo sumo de los votos válidos, votos nulos y votos en bianco) ,,281 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos invólidos) ,,281 ,,





