Table: Table_1

Mesa Número ,280 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones políticas) ,,263 ,,
Votos Nulos ,,018 ,,
Votos en Blanco ,,001 ,,
Total Votos Válldamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,282 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votas invólidos) ,2 ,8 ,2 ,





Table: Table_3

Código ,Nombre Y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,020 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,7 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,001 ,,
31 ,CAMBIO (CAMBIO) ,,004 ,,
32 ,PARTIDO AZUL (AZUL) ,,00 ,6 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,001 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,002 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,005 ,,
37 ,UNION REPUBLICANA (UR) ,,002 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,004 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAJ ,,07 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,004 ,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,05 ,,,
12 ,MI FAMILIA (MI FAMILIA) ,0 0 0 ,,,
33 ,CABAL (CABAL) ,00$ ,,,
17 ,VISION CON VALORES (VIVA) ,004 ,,,
22 ,PODEMOS (PODEMOS) ,012 ,,,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,1000 ,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,0 5 6 ,,,





