Table: Table_1

Meso Número ,289 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,
23 ,TODOS (TODOS) ,,007 ,
.15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,007 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,4 1 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,
31 ,CAMBIO (CAMBIO) ,0 ,0 3 ,
32 ,PARTIDO AZUL (AZUL) ,,005 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,001 ,
18 ,VICTORIA (VICTORIA) ,,003 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,002 ,
37 ,UNION REPUBLICANA (UR) ,,000 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,000 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,001 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,00- ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 ,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,0 ,49 ,
12 ,MIFAMILIA (MI FAMILIA) ,,001 ,
33 ,CABAL (CABAL) ,,001 ,
17 ,VISION CON VALORES (VIVA) ,,004 ,
22 ,PODEMOS (PODEMOS) ,,008 ,
116 ,PARTIDO DE OPORTUNIDADES Y DÉSARROLLO (PODER) ,,000 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,,042 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,,M80 ,,
Votos Nulos - ,,006 ,,
Votos en Bianco ,,000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,186 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es ip suma de los votos vólidamente emitidos y votos invólidos) ,,186 ,,





