Table: Table_1

Mesa,Número ,339 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,1 ,8 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,GOI ,
30 ,PARTIDO REPUBLICANO (PR) ,,0 ,4101 ,
31 ,CAMBIO (CAMBIO} ,,0 ,714 ,
32 ,PARTIDO AZUL (AZUL) ,,0 ,X 7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,00 ,,
18 ,VICTORIA (VICTORIA) ,,01 ,7 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,04 ,X ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,01 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,00 ,,
37 ,UNION REPUBLICANA (UR) ,,0 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL PAN) ,,0 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,I ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,0 ,I ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,02 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,02 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,30 ,9 ,
12 ,MI FAMILIA (MI FAMILIA) ,,O ,I ,
33 ,CABAL (CABAL) ,,0 ,I ,
17 ,VISION CON VALORES (VIVA) ,,O ,I ,
22 ,PODEMOS (PODEMOS) ,,06 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,0 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,80 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,237 ,,
Votos Nulos ,,13 ,,
Votos en Blanco ,,O ,0 ,
Total Votos Válidamente Emitidos (Es lo sumo de los votos vólidos, votos nulos y votos en blanco) ,2 ,5 ,0 ,
Votos Inválidos ,,00 ,,
Total Votos (Es la sumo de los votos vólldamente emitidos y votos invólidos) ,,25 ,O ,





