Table: Table_1

Mesa Número ,19 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,
23 ,TODOS (TODOS) ,,010 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,D ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,0.52 ,
30 ,PARTIDO REPUBLICANO (PR) ,,001 ,
31 ,CAMBIO (CAMBIO) ,,004 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,6 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,003 ,
18 ,VICTORIA (VICTORIA) ,,005 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,008 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,003 ,
37 ,UNION REPUBLICANA (UR) ,,001 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P N) ,,002 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,000 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,002 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,001 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,032 ,
12 ,MI FAMILIA (MI FAMILIA) ,,003 ,
33 ,CABAL (CABAL) ,,001 ,
17 ,VISION CON VALORES (VIVA) ,,002 ,
22 ,PODEMOS (PODEMOS) ,,008 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,000 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,,044 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones politicos) ,,205 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,00 ,/ ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidas, votos nutos y votos en bianco) ,,225 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to suma de los votos vólidamente emitidos y votos involidos) ,,72 ,5 ,





