Table: Table_1

Meso Número ,368 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Manicipal Diputados distributes ,





Table: Table_2

Código Nombrey Siglas ,,Votos ,Validos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones politicas ,,224 ,,
Votos Nulos ,,038 ,,
Votos en Blanco ,,001 ,,
Total Votos Validamente Emitidos of s valos validos votos across votes wanted ,,263 ,,
votos invalidos ,,000 ,,
Total votos (Es some voldemente emindo ,,263 ,,





Table: Table_3

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,DOOS (TODOS) ,,003 ,,
15 ,UNIDAD NACIONAL DELA ESPERÁNZA (UNE) ,,005 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,P ,
30 ,PARTIDO REPUBLICANO (PR) ,,001 ,1 ,
31 ,CAMBIO (CAMBIO) ,,002 ,,
32 ,PARTIOO AZUL (AZUL) ,,003 ,,
27 ,MOVIMIENTO PARA LAUBERACION DE LOS PUEBLOS (MLP) ,,001 ,,
,VICTORIA (V-CTORIA) ,,001 ,,
36 ,VAMOUS POR UNA GUATEMALA DIFERENCE NAMOS ,,004 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,010 ,,
37 ,UNION REPUBLICANA (UR) ,,005 ,,
25 ,PAR1.00 NZADA NACIONAL IPAN ,,0 10 ,,
34 ,PAR1:00 DE INTEGRACION NAGIONAL (PIN) ,,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL IFCN.NACION ,,001 ,,
80 ,COMITE CIVICO LAGOTA DE AGUA (COMITE CIVICO is GOTA DE AGUAP ,,000 ,,
13 ,PARTIDO POLITICO NOGOTROS (PPN) ,,002 ,,
88 ,WINAQ ISSANILA LINE WINAQ ,,011 ,,
x2 ,MI FAMILIA YMI FAVILIAL ,,002 ,,
33 ,CABAL (CABAL) ,,008 ,,
17 ,VISION CON VALORES (VIVA) ,,015 ,,
22 ,PODEMOS (PODEMOS) ,,002 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,024 ,,





