Table: Table_1

Mesa Número ,424 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,002 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,011 ,,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,033 ,,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,,
31 ,CAMBIO (CAMBIO) ,,000 ,,,
32 ,PARTIDO AZUL (AZUL) ,,001 ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,,
18 ,VICTORIA (VICTORIA) ,,002 ,,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,005 ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,00 ,3 ,,
37 ,UNION REPUBLICANA (UR) ,,000 ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,000 ,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,000 ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,0 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,001 ,1 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ ,,3 ,a ,,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,,
33 ,CABAL (CABAL) ,,001 ,,,
17 ,VISION CON VALORES (VIVA) ,,001 ,2 ,,
22 ,PODEMOS (PODEMOS) ,,00 ,5 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,001 ,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,029 ,,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,135 ,,
Votos Nulos ,,006 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidas, votos nulos y votos en bianco) ,,141 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos inválidos) ,,4 ,1 ,





