Table: Table_1

Mesa Número ,446 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones politicas) ,,27 ,1 ,
Votos Nulos ,,012 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es lo sumo de los votos vólidos, votos nulos y votos en bianco) ,,28 ,3 ,
Votos Inválidos ,,11 ,7 ,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,,400 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,004 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,005 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,05 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,002 ,,
32 ,PARTIDO AZUL (AZUL) ,,003 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,
18 ,VICTORIA (VICTORIA) ,,001 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,006 ,,
37 ,UNION REPUBLICANA (UR) ,00 ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,00. ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,002 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,2 ,4 ,
12 ,MIFAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL {CABAL) ,,002 ,,
17 ,VISION CON VALORES (VIVA) ,,,1 ,
22 ,PODEMOS (PODÉMOS) ,,,a ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,0 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,04 ,0 ,





