Table: Table_1

Mesa Número ,463 ,,
Departamento ,01 ,Guatemala . ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,,6 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,6 ,9 ,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,,0 ,
31 ,CAMBIO (CAMBIO) ,O ,0 ,3 ,
32 ,PARTIDO AZUL (AZUL) ,,,6 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,0 ,5 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,3 ,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,0 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,,7 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 ,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,Z ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,3 ,
13 ,PARTIDO POLÍTICO NOSOTROS (PPN) ,0 ,0 ,5 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,2 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,0 ,
33 ,CABAL (CABAL) ,,0 ,4 ,
17 ,VISION CON VALORES (VIVA) ,,0 ,3 ,
22 ,PODEMOS (PODEMOS) ,,,6 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO ) ,O ,5 ,8 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los orgonizaciones politicas) ,2 ,3 ,5 ,
Votos Nulos ,O ,2 ,,
Votos en Blanco ,0 ,O ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,2 ,5 ,5 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólldamente emitidos y votos invólidos) ,2 ,5 ,5 ,





