Table: Table_1

Mesa Número ,550 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,
23 ,TODOS (TODOS) ,,005 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,020 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,053 ,
30 ,PARTIDO REPUBLICANO (PR) ,,002 ,
31 ,CAMBIO (CAMBIO) ,,007 ,
32 ,PARTIDO AZUL (AZUL) ,,003 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,
18 ,VICTORIA (VICTORIA) ,,008 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,010 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,004 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,003 ,
37 ,UNION REPUBLICANA (UR) ,,004 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,004 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,003 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,001 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,004 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,038 ,
12 ,MI FAMILIA (MI FAMILIA) ,,003 ,
33 ,CABAL (CABAL) ,,004 ,
17 ,VISION CON VALORES (VIVA) ,,003 ,
22 ,PODEMOS (PODEMOS) ,,006 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,002 ,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,,06 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticos) ,,250 ,,
Votos Nulos ,,02 ,/ ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,27 ,,/ ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos invólidos) ,,271 ,,





