Table: Table_1

Mesa Número ,621 ,,
Departamento ,01 ,Guatemala ,
Municipio. ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,009 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,26 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,38 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,002 ,,
31 ,CAMBIO (CAMBIO) ,00 ,,2 ,
32 ,PARTIDO AZUL (AZUL) ,,007 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,001 ,4 ,
18 ,VICTORIA (VICTORIA) ,,010 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,007 ,7 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,2 ,
37 ,UNION REPUBLICANA (UR) ,,,L ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,O ,0 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,O ,,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAO) ,,1 ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL {CABAL) ,,004 ,,
17 ,VISION CON VALORES (VIVA) ,00 ,,5 ,
22 ,PODEMOS (PODEMOS) ,,,9 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,00 ,,1 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,,052 ,,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (ES la sumo de los votos obtenidos por las organizaciones políticas) ,,205 ,,
Votos Nutos ,0 ,2 ,8 ,
Votos en Bianco ,0 ,0 ,2 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nutos y votos en bionco) ,2 ,3 461 ,5 6 ,
Votos Inválidos ,,166 ,,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos Invólidos) ,,401 ,,





