Table: Table_1

Mesa Número ,643 ,,
Departamento ,01 ,Guotemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,008 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,023 ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,038 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,004 ,,
32 ,PARTIDO AZUL (AZUL) ,,002 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,001 ,,
18 ,VICTORIA (VICTORIA) ,,004 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,008 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PKG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,00 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,001 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,00 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,0 ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,00 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,2 ,2 ,
12 ,M1 FAMILIA (MI FAMILIA) ,0 ,,1 ,
, 33 ,CABAL (CABAL) ,0 ,000 ,,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,6 ,
22 ,PODEMOS (PODEMOS) ,,009 ,,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO: ,0 ,7 ,2 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones politicós) ,,209 ,,
Votos Nulos ,,018 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (ES la sumo de los votos válidos, votos nulos y votos en bionco) ,,228 ,,
Votos Inválidos 000 ,,+72 ,,
Total Votos (Es lo suma de los votos vólidamente emitidos y votos invólidos) ,,400 ,,





