Table: Table_1

Mesa Número ,693 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,,Votos ,Válidos ,
23 ,TODOS (TODOS) ,0 ,0 ,9 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O ,1 ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,6 ,4 ,
30 ,PARTIDO REPUBLICANO (PR) ,,O ,2 1 ,
31 ,CAMBIO (CAMBIO) ,,( ,5 ,
32 ,PARTIDO AZUL (AZUL) ,,,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,,3 ,
36 ,VAMOS FOR UNA GUATEMALA DIFERENTE (VAMOS) ,,X 1 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,0 ,3 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,Q ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,0 ,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,0 ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,5 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,O ,2 ,
33 ,CABAL (CABAL) ,,0 i ,7 ,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,3 ,
22 ,PODEMOS (PODEMOS) ,,,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,0 ,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,0 ,3 ,9 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticos) ,2 ,,5 ,
Votos Nulos ,,1 ,5 ,
Votos en Blanco ,,002 ,,
Total Votos Válidamente . Emitidos (Es la suma de los votos vólidos, votos nulos y votos en bionco) ,,5 ,2 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos vólidamente, emitidos y votos invólidos) ,,252 ,,





