Table: Table_1

Mesa Número ,753 ,,
Departamento ,OT ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,005 ,,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,2 ,5 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,,
31 ,CAMBIO (CAMBIO) ,,0 ,3 ,,
32 ,PARTIDO AZUL (AZUL) ,,0 ,1 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,,
18 ,VICTORIA (VICTORIA) ,,,,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,0 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,1 ,,
37 ,UNION REPUBLICANA (UR) ,,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,1 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,000 ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,001 ,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,050 ,,,
12 ,MI FAMILIA (M) FAMILIA) ,,0 ,,,
33 ,CABAL (CABAL) ,0 ,0 ,3 ,,
17 ,VISION CON VALORES (VIVA) ,00. ,,6 ,,
!2 ,PODEMOS (PODEMOS) ,,008 ,,,
16 ,PARTIDO DE OPORTUNIDADES y DESARROLLO (PODER) ,,000 ,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,3 ,6 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,,4 ,5 ,
Votos Nulos ,,009 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es lo sumo de los votos vólidas, votos nulos y votos en bionco) ,,5 ,Y ,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos válidomente emitidos y votos Invólidos) ,,151 ,4 ,





