Table: Table_1

Mesa Número ,54 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES lo suma de los votos obtenidos por los organizaciones políticas} ,2 ,4 ,5 ,
Votos Nulos ,0 ,2 ,4 ,
Votos en Blanco ,,002 ,,
Total Votos Válidamente Emitidos (Es to suma de los votos válidos, votos nulos y votos en blanco) ,,27 ,I ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos vólidamente emitidos y votos inválidos) ,,27 ,I ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,topos (TODOS) ,,012 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,2 ,0 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,6 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,,002 ,,
31 ,CAMBIO (CAMBIO) ,,005 ,,
32 ,PARTIDO AZUL (AZUL) ,,003 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,009 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,2 ,
26 ,BIENESTAR NACIONAL (SIEN) ,,,4 ,
37 ,UNION REPUBLICANA (UR) ,,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,,002 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,3 ,
80 ,COMITE CIVIÇO LA GOTA DE AGUA (COMITE CIVIÇO LA GOTA DE AGUAT ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,1 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,4 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,001 ,,
17 ,VISION CON VALORES (VIVA) ,,005 ,,
22 ,PODEMOS (PODEMOS) ,,2 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,000 ,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,0 ,4 ,5 ,





