Table: Table_1

Mesa Número ,809 ,,
Departamento ,01 ,Guatemala ,
Municipio ,OT ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones políticas) ,2 ,7 ,3 ,
Votos Nulos ,,009 ,,
Votos en Blanco ,,00 ,1 ,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bionco) ,,8 ,3 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos Inválidos) ,2 ,8 ,3 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,8 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,9 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,1 ,0 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,O ,0 ,O ,
31 ,CAMBIO (CAMBIO) ,,0 ,1 ,
32 ,PARTIDO AZUL (AZUL) ,,I ,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,O ,0 ,
18 ,VICTORIA (VICTORIA) ,0 ,,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,2 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,3 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,X ,O ,I ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,O ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,U ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,4 ,5. ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,0 ,O ,
33 ,CABAL (CABAL) ,0 ,0 ,3 ,
17 ,VISION CON VALORES (VIVA) ,U ,0 ,4 ,
22 ,PODEMOS (PODEMOS) ,0 ,0 ,X 7 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,0 ,0 ,0 ,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,0 ,5 ,3 ,





