Table: Table_1

Mesa Número ,830 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticos) ,,260 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,235 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidomente emitidos y votos inválidos) ,,235 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,504 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,I ,a ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,O ,2 ,0 ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,1 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,2 ,7 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,U ,U ,0 ,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,LO3 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,U ,2 ,2 ,
26 ,BIENESTAR NACIONAL (BIEN) ,D ,0 ,\ ,
37 ,UNION REPUBLICANA (UR) ,,002 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,2 ,,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,2 ,\ ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,O ,2 ,I ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,.) ,0 ,I ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,I ,
12 ,MI FAMILIA (MI FAMILIA) ,U ,, ,I ,
33 ,CABAL (CABAL) ,0 ,0 ,4 ,
17 ,VISION CON VALORES (VIVA) ,0 ,I ,( ,
22 ,PODEMOS (PODEMOS) ,0 ,I ,3 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,I ,0 ,O ,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,0 ,D ,3 ,





