Table: Table_1

Mesa Número ,847 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones politicas) ,,238 ,,
Votos Nulos ,,I ,2 ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,250 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos inválidos) ,,250 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,00: ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,5 ,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,0 ,,
31 ,CAMBIO (CAMBIO) ,,000 ,,
32 ,PARTIDO AZUL (AZUL) ,,001 ,4 ,
27 ,MOVIMIENTO PARA LA LIBERACIÓN DE LOS PUEBLOS (MLP) ,,000 ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,00, ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,004 ,,
37 ,UNION REPUBLICANA (UR) ,,001 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,00. ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,00 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,00 ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,00 ,3 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,000 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,6 ,3 ,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,00 ,0 ,
17 ,VISION CON VALORES (VIVA) ,,002 ,,
22 ,PODEMOS (PODEMOS) ,0 ,2 ,2 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,0.00 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,06: ,3 ,





