Table: Table_1

Mesa Número ,853 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,,233 ,,
Votos Nulos ,,017 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,25 ,I ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sump de los votos vólidamente emitidos y votos Invólidos) ,25 ,,I ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,004 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,01 ,6 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,05 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,,00 ,I ,
31 ,CAMBIO (CAMBIO) ,,00 ,4 ,
32 ,PARTIDO AZUL (AZUL) ,,009 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,
18 ,VICTORIA (VICTORIA) ,,008 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,001 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,00 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,00 ,/ ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,003 ,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,/ ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,0 ,I ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,00. ,3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,03 ,8 ,
12 ,MI FAMILIA {MI FAMILIA) ,,00 ,I ,
33 ,CABAL (CABAL) ,,000 ,,
17 ,VISION CON VALORES (VIVA) ,,001 ,8 ,
22 ,PODEMOS (PODEMOS) ,,00 ,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,0 ,I ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,064 ,,





