Table: Table_1

Mesa Número ,878 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de los votos obtenidos por las organizaciones politicas) ,,277 ,,
Votos Nulos ,0 ,1 ,7 ,
Votos en Blanco ,0 ,,00 ,
Total Votos Validamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,294 ,,
Votos inválidos ,,000 ,,
Total Votos (Es in sump de los votos vólidamente emitidos y votos invólidos) ,2 ,,94 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,I ,2 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,I ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,,79 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,002 ,,
32 ,PARTIDO AZUL (AZUL : ,,\ ,\ ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,00 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,O ,8 ,
37 ,UNION REPUBLICANA (UR) ,,,\ ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 ,O ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAI2 WINAQ) ,,5 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,,0 ,4 ,
33 ,CABAL (CABAL ,0 ,,3 ,
17 ,VISION CON VALORES (VIVA) ,0 ,,3 ,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,06 ,,





