Table: Table_1

Mesa Número ,925 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las orgonizaciones políticas) ,,252 ,,
Votos Nulos ,D ,2 ,2 ,
Votos en Bianco ,,,Q ,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nutos y votos en blanco) ,,274 ,,
Votos Inválidos ,1 ,O ,1 ,
Total Votos (Es to sumo de los votos vólidomente emitidos y votos inválidos) ,,275 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,I ,1 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,/ ,1 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,/ ,I ,a ,
30 ,PARTIDO REPUBLICANO (PR) ,/ ,7 ,a ,
31 ,CAMBIO (CAMBIO) ,,,3 ,
32 ,PARTIDO AZUL (AZUL) ,/ ,,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,/ ,,,
18 ,VICTORIA (VICTORIA) ,/ ,,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,/ ,6 ,
37 ,UNION REPUBLICANA (UR) ,/ ,,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,/ ,,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,/ ,0 ,Q ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,D ,,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAT ,7 ,,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,/ ,1 ,2 ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,1 ,4 ,2 ,
12 ,MI FAMILIA (MIFAMILIA) ,/ ,2 ,4 ,
33 ,CABAL (CABAL) ,,(I ,2 ,
17 ,VISION CON VALORES (VIVA) ,,(i ,3 ,
22 ,PODEMOS (PODEMOS) ,/ ,( ,9 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,7 ,I ,Q ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,I ,9. ,





