Table: Table_1

Mesa Número ,928 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones politicas) ,,5 ,3 ,
Votos Nulos ,,,,
Votos en Blanco ,,ane ,,
Total Votos Válidamente Emitidos (Es to suma de los votos vólidos, votos nulos y votos en blanco) ,,269 ,,
Votos Inválidos ,,CCC ,,
Total Votos (Es in sumo de los votos válidamente emitidos y votos invólidos) ,,759 ,,





Table: Table_3

Código ,Nombre Y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,\ ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,I ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,6 ,,,
30 ,PARTIDO REPUBLICANO {PR) ,O ,C ,,,
31 ,CAMBIO (CAMBIO) ,C ,O ,,,
32 ,PARTIDO AZUL (AZUL : ,0 ,\ ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,,
18 ,VICTORIA (VICTORIA) ,,001 ,X ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,005 ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,5 ,\ ,,
37 ,UNION REPUBLICANA (UR) ,,0 ,X 2 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,\ ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,C - ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,C. ,2 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,\ ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,C ,\ ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,5 ,\ ,,
12 ,MI FAMILIA {MI FAMILIA) ,,0 ,2 ,,
33 ,CABAL (CABAL) ,,O ,fl ,,
17 ,VISION CON VALORES (VIVA) ,,,5 ,,
22 ,PODEMOS (PODEMOS) ,,,2 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,,065 ,,,





