Table: Table_1

Mesa Número ,83 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por los organizaciones políticas) ,,18 ,5 ,
Votos Nulos ,,012 ,,
Votos en Blanco ,,00 ,2 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos, votos nulos y votos en blanco) ,,19 ,9 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidomente emitidos y votos inválidos) ,,19 ,9 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,008 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,,6 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,04 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,,UU ,2 ,
31 ,CAMBIO (CAMBIO) ,,UU ,6 ,
32 ,PARTIDO AZUL (AZUL) ,,UU ,8 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,400 ,,
18 ,VICTORIA (VICTORIA) ,,UU ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,40 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,00 ,1 ,
26 ,BIENESTAR NACIONAL {BIEN) ,,00 ,2 ,
37 ,UNION REPUBLICANA (UR) ,,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,00. ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,UUU ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,600 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,UU ,3 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,U3 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,,UU ,2 ,
33 ,CABAL (CABAL) ,,UU ,1 ,
17 ,VISION CON VALORES (VIVA) ,,00 ,5 ,
22 ,PODEMOS (PODEMOS) ,,U1 ,0 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,001 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,034 ,,





