Table: Table_1

Mesa Número ,84 ,,
Departamento ,01 ,Guotemaia ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Síglas ,,Votos ,Válidos ,
Total Votos Válidos (Es 10 sumo de los votos obtenidos por los organizaciones politicos) ,,194 ,,
Votos Nutos ,,,16 ,
Votos en Bianco ,,,2 ,
Total Votos Válidamente Emitidos (Es to suma de los votos vólidos. votos nutes y votos en blanco) ,,212 ,,
Votos Inválidos ,,190 ,,
Total Votos (fs to sumo de los votos vólidamente emitidos y votos Invólidos) ,4 ,0 ,2 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (1000) ,0 ,13 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,O ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,055 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,004 ,,
32 ,PARTIDO AZUL (AZUL) ,,001 ,1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,005 ,,
18 ,VICTORIA (VICTORIA) ,,,7 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,0 ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,002 ,,
37 ,UNION REPUBLICAHA (UR) ,,002 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,X 1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCH-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CMICO LA GOTA DE AGUA] ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 ,O ,1 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,9 ,
12 ,MI FAMILIA (MI FAMILIA) ,,001 ,,
33 ,CABAL (CABAL) ,0 ,O ,3 ,
17 ,VISION CON VALORES (VIVA) ,,003 ,,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,3 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00. ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CRED) ,,028 ,,





