Table: Table_1

Mesa Número ,1013 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos par los organizaciones politicas) ,,209 ,,
Votos Nulos ,,007 ,,
Votos en Blanco ,,002 ,,
Total Votos Validamente Emitidos (Es lo suma de los votos vólidos, votos nutos y votos en bionco) ,,218 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos vólidomente emitidos y votos inválidos) ,,218 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,008 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,\ ,\ ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,052 ,,,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,,
31 ,CAMBIO (CAMBIO) ,,004 ,,,
32 ,PARTIDO AZUL (AZUL) ,,008 ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,002 ,,,
18 ,VICTORIA (VICTORIA) ,,003 ,,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,005 ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,003 ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,002 ,,,
37 ,UNION REPUBLICANA (UR) ,,004 ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,002 ,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,001 ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,002 ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,00 ,\ ,,
13 ,PARTIDO POLÍTICO NOSOTROS (PPN) ,,002 ,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,030 ,,,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,,
33 ,CABAL {CABAL) ,,003 ,,,
17 ,VISION CON VALORES (VIVA) ,,005 ,,,
22 ,PODEMOS (PODEMOS) ,,007 ,,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO,(PODER) ,,000 ,,,
20 ,COMPROMISO RENOVACION Y ORDEN (CREO) ,,054 ,,,





