Table: Table_1

Mesa Número ,1058 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,,
23 ,TODOS (TODOS) ,,004 ,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,026 ,,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,5 ,6 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,,,,
31 ,CAMBIO (CAMBIO) ,,006 ,,,
32 ,PARTIDO AZUL (AZUL: ,,001 ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,000 ,,,
18 ,VICTORIA (VICTORIA) ,,008 ,,,
.36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,004 ,,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,002 ,,,
37 ,UNION REPUBLICANA (UR) ,,003 ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,001 ,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,\ ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,003 ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,002 ,,,
88 ,SEMILLA URNG-MAIZ WINAQ ISEMILLA URNG-MAIZ WINAQI ,,020 ,,,
12 ,Mi FAMILIA (MI FAMILIA) ,,,,,
33 ,CABAL (CABAL) ,,005 ,,,
17 ,VISION CON VALORES (VIVA) ,,006 ,,,
22 ,PODEMOS (PODEMOS) ,,020 ,,,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,000 ,,,
20 ,COMPROMISO. RENOVACION Y ORDEN (CRED) ,,055 ,,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de los votos obtenidos por las organizaciones políticas) ,,224 ,,
Votos Nulos ,,009 ,,
Votos en Blanco- ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nutos y votos en blanco) ,,233 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to suma de los votas vólidamente emitidos y votos invólidos) ,,233 ,,





