Table: Table_1

Mesa Número ,1110 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,2 ,# 7 ,8 ,
Votos Nulos ,0 ,1 ,2 ,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es to suma de los votos vólidos, votos nulos y votos en blanco) ,2 ,a ,1 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos inválidos) ,,9 ,1 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,0 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,5 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,3 ,,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,0 ,,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,4 ,
32 ,PARTIDO AZUL (AZUL ,0 ,0 ,9 ,
27 ,MOVIMIENTO PARA LA LISERACION DE LOS PUEBLOS (MLP) ,o ,0 ,( ,
18 ,VICTORIA (VICTORIA) ,0 ,0 ,6 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,C ,0 ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,0 ,0 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,0 ,4 ,
37 ,UNION REPUBLICANA (UR) ,o ,0 ,o ,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,o ,0 ,) ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,o ,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,o ,0 ,0 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,0 ,0 ,I ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,5 ,
12 ,MIFAMILIA (MI FAMILIA) ,0 ,0 ,2 ,
33 ,CABAL (CABAL) ,o ,0 ,1 ,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,2 ,
22 ,PODEMOS (PODEMOS) ,0 ,) ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,o ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,6 ,,





