Table: Table_1

Mesa Número ,1118 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones politicos) ,,261 ,,
Votos Nulos ,C ,/ ,4 ,
Votos en Blanco ,0 ,0 ,I ,
Total Votos Válidamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en blanco) ,27 ,,6 ,
Votos Inválidos ,0 ,0 ,,
Total Votos (Es to sumo de los votos válidamente emitidos y votos inválidos) ,,276 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,,9 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,6 ,3 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,I ,7 ,5 ,
30 ,PARTIDO REPUBLICANO (PR) ,a ,I ,P ,
31 ,CAMBIO {CAMBIO) ,0 ,,7 ,
32 ,PARTIDO AZUL (AZUL: ,,0 ,3 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,0 ,Q ,
18 ,VICTORIA (VICTORIA) ,D ,,) ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,001 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,,0 ,Q ,
37 ,UNION REPUBLICANA (UR) ,,,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 ,,0 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,) ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,,3 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAY ,,01 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,28 ,,
12 ,MI FAMILIA (MI FAMILIA) ,K ,0 ,3 ,
33 ,CABAL (CABAL) ,0 ,,2 ,
17 ,VISION CON VALORES (VIVA) ,0 ,,2 ,
22 ,PODEMOS (PODEMOS) ,0 ,0 ,6 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,0 ,0 ,I ,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,,,a ,





