Table: Table_1

Mesa Número ,1147 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre Sigias ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicos) ,2 ,7 ,3 ,
Votos Nulos ,,,6 ,
Votos en Blanco ,,,2 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos vólidos. votos nutos y votos en blonco) ,,28 ,,
Votos Inválidos ,,11 ,9 ,
Total Votos (Es to sumo de los votos válidomente emitidos y votos invólidos) ,4 ,00 ,,





Table: Table_3

Código ,Nombrey Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,9 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,/ ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,64 ,,
30 ,PARTIDO REPUBLICANO (PR) ,,,
31 ,CAMBIO (CAMBIO) ,,,
32 ,PARTIDO AZUL (AZUL ,,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,
18 ,VICTORIA (VICTORIA) ,,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,5 ,
37 ,UNION REPUBLICANA (UR) ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,2 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUAI ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,/ ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,6 ,0 ,
12 ,MI FAMILIA (MI FAMILIA) ,,,
33 ,CABAL (CABAL) ,,4 ,
17 ,VISION CON VALORES (VIVA) ,,4 ,
22 ,PODEMOS (PODÉMOS) ,/ ,8 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,72 ,,





