Table: Table_1

Mesa Número ,1153 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,,265 ,,
Votos Nulos ,,015 ,,
Votos en Blanco ,- ,- ,- ,
Total Votos Válidamente Emitidos (ES la suma de los votos vólidos, votos nutos votos en blanco) ,,280 ,,
Votos Inválidos ,- ,- ,,
Total Votos (Es lo sumo de los votos válidomente emitidos y votos invólidos) ,,280 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,C ,1 ,O ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,017 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,095 ,,
30 ,PARTIDO REPUBLICANO (P9) ,,001 ,,
31 ,CAMBIO (CAMBIO) ,,00 ,,
32 ,PARTIDO AZUL (AZUL) ,O ,,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,- ,- ,
18 ,VICTORIA (VICTORIA) ,- ,- ,- ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,- ,
26 ,BIENESTAR NACIONAL (SIEN) ,,005 ,,
37 ,UNION REPUBLICANA (UR) ,00 ,,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,- ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,- ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA! ,,001 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,,/ ,
88 ,SEMILLA URNG-MAIZ WINAQ [SEMILLA URNG-MAIZ WINAQ) ,,U30 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,00 ,/ ,
33 ,CABAL (CABAL) ,,00 ,,
17 ,VISION CON VALORES (VIVA) ,00 ,,6 ,
22 ,PODEMOS (PODEMOS) ,01 ,,2 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,- ,,,
20 ,COMPROMISO, RENOVACION y ORDEN (CREO) ,,060 ,,





