Table: Table_1

Mesa Número ,1171 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to suma de los votos obtenidos por los organizaciones políticas) ,,,,
Votos Nulos ,O ,X of ,5 ,
Votos en Blanco ,,,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,,,,
Votos Inválidos ,,,,
Total Votos (Es fo sumo de los votos válidamente emitidos y votos invólidos) ,,,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,0 ,0 ,b ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,O ,2 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,8 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,2 ,) ,1 ,
31 ,CAMBIO (CAMBIO) ,,004 ,,
32 ,PARTIDO AZUL (AZUL) ,,0 77 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,( ,,3 ,
18 ,VICTORIA (VICTORIA) ,,00 ,1 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,00 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,O ,
26 ,BIENESTAR NACIONAL (BIEN) ,,,10 ,
37 ,UNION REPUBLICANA (UR) ,,001 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (F AN) ,,001 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,O ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,) ,C ,
13 ,PARTIDO POLITICO NOSOTROS. (PPN) ,,,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,3 ,,
12 ,MI FAMILIA (MI FAMILIA) ,: ,J ,1 ,
33 ,CABAL (CABAL) ,,) ,4 ,
17 ,VISION CON VALORES (VIVA) ,( ,1 ,1 ,
22 ,PODEMOS (PODEMOS) ,,,T ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,2 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,,7 ,





