Table: Table_1

Mesa Número ,1173 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,,3 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 22 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,064 ,,
30 ,PARTIDO REPUBLICANO [PR] ,001 ,,
31 ,CAMBIO (CAMBIO) ,00 ,2 ,
32 ,PARTIDO AZUL (AZUL) ,01 ,4 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,,
18 ,VICTORIA (VICTORIA) ,00 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,5 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,000 ,,
26 ,SIENESTAR NACIONAL (BIEN) ,003 ,,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,001 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL {FCN-NACION) ,001 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,002 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,063 ,,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL {CABAL) ,001 ,,
17 ,VISION CON VALORES (VIVA) ,004 ,,
22 ,PODEMOS (PODEMOS) ,010 ,,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO. RENOVACION Y ORDEN (CRED) ,057 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas) ,,,2704651 ,
Votos Nulos ,,009 ,,
Votos en Blanco ,,,0005 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos votos en blanco) ,,27. ,a ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos invólidos) ,,27 ,a ,





